id,author,desc,sales,average,highest_price,lowest_price
CAT_000127_e44_d1,Burani,"L. a. s., (1870), 1 p. in-8.","[{'date': '1871-08', 'price': 5.0}, {'date': '1889-12', 'price': 5.0}]",5.0,5.0,5.0
CAT_000127_e90_d1,Fénelon,"Let. aut. à la comtesse de Montberon, sa nièce ; 31 juil. 1704, 1 p. 3/4 in-8, cachet. Jolie lettre.","[{'date': '1893-07', 'price': 25.0}, {'date': '1894-12', 'price': 30.0}, {'date': '1889-12', 'price': 30.0}]",28.33,30.0,25.0
CAT_000127_e151_d1,Leroux,"L. a. s. à l'éditeur Charpentier, 1844, 2/3 de p. in-8.","[{'date': '1892-06', 'price': 8.0}, {'date': '1881-01', 'price': 3.0}, {'date': '1889-12', 'price': 8.0}]",6.33,8.0,3.0
CAT_000127_e168_d1,Marguerite,"Let. sig. avec la souscription aut. à l'infante d'Espagne Isabelle ; Paris, 31 décembre 1605, 1 p. in-fol., sceau. Rare. Très belle lettre intime.","[{'date': '1890-10', 'price': 120.0}, {'date': '1889-12', 'price': 120.0}]",120.0,120.0,120.0
CAT_000173_e197_d1,Mauduyt,"L. a. s. à Valmont de Bomare; 1783, 3 p. in-4.","[{'date': '1890-12', 'price': 8.0}, {'date': '1889-12', 'price': 8.0}, {'date': '1880-01', 'price': 5.0}, {'date': '1894-02', 'price': 6.0}]",6.75,8.0,5.0
CAT_000081_e3_d1,Adelung,"L. a. s.; Leipzig, 1782, 3 p. in-4. Belle pièce.","[{'date': '1887-09', 'price': 2.0}, {'date': '1885-03', 'price': 2.0}, {'date': '1870-03', 'price': 2.0}]",2.0,2.0,2.0
CAT_000075_e2_d1,Aguesseau,"L. a. s. à M. de Pontchartrain; Paris, 28 juillet 1702, 2 p. 1/2 in-4. Belle et intéressante lettre.","[{'date': '1887-09', 'price': 15.0}, {'date': '1885-02', 'price': 15.0}]",15.0,15.0,15.0
CAT_000110_e4_d1,Albani,"L. a. s., en français, à une princesse ; Rome, 23 février 1831, 2 p. in-4.","[{'date': '1884-12', 'price': 15.0}, {'date': '1887-09', 'price': 15.0}]",15.0,15.0,15.0
CAT_000049_e3_d1,Arnauld,"L. aut. (à Mme de Bouthillier); 18 fév. 1663, I p. in-8.","[{'date': '1885-03', 'price': 10.0}, {'date': '1887-09', 'price': 10.0}, {'date': '1880-03', 'price': 15.0}]",11.67,15.0,10.0
CAT_000075_e9_d1,Arnauld,"L. a. s. à M. Chibert, conseiller à la Cour des Aides, (1716), 2 p. 1/2 in-8.","[{'date': '1887-09', 'price': 6.0}, {'date': '1885-02', 'price': 6.0}]",6.0,6.0,6.0
